id;first_name;last_name;email;telephone;address_raw
1;Chelsey;Wyman;Kiana.Bosco@hotmail.com;(872) 366-4291 x128;../fake-data/blob/hipster.txt
2;Elmer;Hamill;Graham_Greenfelder@hotmail.com;349-915-9755;../fake-data/blob/hipster.txt
3;Gladyce;Rippin;Alphonso_Schneider@yahoo.com;612-324-7679 x191;../fake-data/blob/hipster.txt
4;Otis;Kirlin;Conrad.Stiedemann9@hotmail.com;783-406-7005;../fake-data/blob/hipster.txt
5;Aryanna;Nitzsche;Ozella.OKeefe81@yahoo.com;1-438-686-0772;../fake-data/blob/hipster.txt
6;Issac;Feest;Pat59@gmail.com;1-372-697-7267 x6410;../fake-data/blob/hipster.txt
7;Corine;Watsica;Owen_Hyatt@gmail.com;901-784-5855 x7416;../fake-data/blob/hipster.txt
8;Lewis;Strosin;Arjun25@yahoo.com;1-808-351-5451 x5182;../fake-data/blob/hipster.txt
9;Orin;Dietrich;Jake88@hotmail.com;488-654-0699;../fake-data/blob/hipster.txt
10;Jane;Crist;Will_Champlin@yahoo.com;214-593-0249;../fake-data/blob/hipster.txt
